# Pathway	cat_cutrefo1-MmMm-USA-23-ATP-1873_S352_L005_Abundance	cat_cutrefo10-SbMm-USA-23-ATP-1873_S361_L005_Abundance	cat_cutrefo11-SbMm-USA-23-ATP-1873_S362_L005_Abundance	cat_cutrefo12-SbMm-USA-23-ATP-1873_S363_L005_Abundance	cat_cutrefo13-SbMm-USA-23-ATP-1873_S364_L005_Abundance	cat_cutrefo14-SbMm-USA-23-ATP-1873_S365_L005_Abundance	cat_cutrefo15-SbMm-USA-23-ATP-1873_S366_L005_Abundance	cat_cutrefo16-SbMm-USA-23-ATP-1873_S367_L005_Abundance	cat_cutrefo17-SbMm-USA-23-ATP-1873_S368_L005_Abundance	cat_cutrefo18-SbMm-USA-23-ATP-1873_S369_L005_Abundance	cat_cutrefo19-HsMm-USA-23-ATP-1873_S370_L005_Abundance	cat_cutrefo2-MmMm-USA-23-ATP-1873_S353_L005_Abundance	cat_cutrefo20-HsMm-USA-23-ATP-1873_S371_L005_Abundance	cat_cutrefo21-HsMm-USA-23-ATP-1873_S372_L005_Abundance	cat_cutrefo22-HsMm-USA-23-ATP-1873_S373_L005_Abundance	cat_cutrefo23-HsMm-USA-23-ATP-1873_S374_L005_Abundance	cat_cutrefo24-HsMm-USA-23-ATP-1873_S375_L005_Abundance	cat_cutrefo25-HsMm-USA-23-ATP-1873_S376_L005_Abundance	cat_cutrefo26-HsMm-USA-23-ATP-1873_S377_L005_Abundance	cat_cutrefo3-MmMm-USA-23-ATP-1873_S354_L005_Abundance	cat_cutrefo4-MmMm-USA-23-ATP-1873_S355_L005_Abundance	cat_cutrefo5-MmMm-USA-23-ATP-1873_S356_L005_Abundance	cat_cutrefo6-MmMm-USA-23-ATP-1873_S357_L005_Abundance	cat_cutrefo7-MmMm-USA-23-ATP-1873_S358_L005_Abundance	cat_cutrefo8-MmMm-USA-23-ATP-1873_S359_L005_Abundance	cat_cutrefo9-SbMm-USA-23-ATP-1873_S360_L005_Abundance
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	66.1104	248.173	269.155	119.993	196.531	137.658	167.691	154.045	73.2558	88.9393	21.8957	97.8614	71.8557	58.4473	14.7543	124.357	41.4486	69.4989	94.5006	48.3532	0	0	0	71.8877	82.0512	154.76
ORNDEG-PWY: superpathway of ornithine degradation	0	2.98725	7.32984	0	0	0	0	0	0	0	0	1.43946	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0	11.158	0	0	5.73843	0	7.98782	0	0	0	0	0	0	0	0	3.35698	0	0	0	0	0	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I	0	5.03389	4.21304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P124-PWY: Bifidobacterium shunt	0	0	14.9777	0	7.10399	0	0	31.2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P161-PWY: acetylene degradation (anaerobic)	7.80708	10.0161	22.8878	14.8763	18.1325	17.8464	32.6652	7.46334	0	16.0725	62.942	8.34375	29.608	63.6927	5.91741	7.67461	34.7514	24.2527	15.4355	0	0	0	0	6.98547	5.67187	9.94598
P164-PWY: purine nucleobases degradation I (anaerobic)	0	13.6828	17.2544	16.7167	18.8982	18.9191	24.3523	26.1188	6.94574	0	61.2018	0	99.8598	45.3544	24.8003	12.3489	203.766	53.7322	36.2526	0	0	0	0	0	0	10.7002
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0	30.2021	36.3458	0	51.2201	0	6.40519	0	0	0	0	0	3.83018	0	0	0	1.91695	3.48882	0	0	0	0	0	7.79011	0	43.9844
P23-PWY: reductive TCA cycle I	0	0	3.4702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	65.6575	181.904	215.023	184.987	263.647	183.873	170.174	192.932	103.878	156.542	86.6971	38.318	82.4523	102.282	76.2176	101.314	97.9994	99.4327	101.69	0	0	78.4401	0	49.6248	43.629	202.213
P42-PWY: incomplete reductive TCA cycle	0	4.29077	8.75331	0	0	0	0	24.4853	0	0	0	0	16.049	0	0	0	0	19.8048	26.6601	0	0	0	0	6.8074	0	0
P441-PWY: superpathway of N-acetylneuraminate degradation	0	18.4361	60.5003	37.4289	49.1501	43.1903	32.96	22.4612	0	0	43.2663	22.4456	66.265	93.0749	27.5035	29.2819	107.45	62.7391	45.3548	0	0	0	0	21.4838	18.3105	34.471
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0	8.10706	34.4688	18.1646	24.4534	19.1178	11.7116	10.3354	0	0	15.3918	0	10.7129	3.01233	11.5761	10.1416	42.6603	42.7329	23.8256	0	0	0	0	9.89417	3.72701	20.167
PANTO-PWY: phosphopantothenate biosynthesis I	534.106	670.046	448.755	256.266	307.067	288.604	291.319	209.22	282.394	330.165	351.586	498.459	333.57	380.493	396.049	368.374	366.982	368.992	385.43	502.461	432.041	308.404	552.59	537.121	489.499	389
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	529.231	624.929	435.323	258.681	312.717	324.772	332.075	230.915	247.293	327.848	349.822	512.501	321.688	363.451	382.127	366.979	352.624	376.132	378.914	502.439	445.593	270.978	500.533	501.055	480.289	391.242
PENTOSE-P-PWY: pentose phosphate pathway	8.27625	57.2904	64.9098	81.4363	73.3422	67.7258	74.0809	76.6014	69.4063	69.8648	233.06	120.207	251.556	265.641	185.934	204.715	292.145	201.516	212.769	0	0	113.843	0	112.67	80.2322	69.0807
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	614.763	712.314	543.149	300.546	399.512	436.512	431.859	327.507	293.029	407.17	400.806	602.728	387.939	417.054	508.867	459.984	432.392	462.234	497.97	620.787	476.853	467.756	508.611	630.127	578.88	476.067
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	36.9861	19.2971	49.362	44.0226	12.1669	0	27.7655	32.9089	8.62803	0	0	76.9385	114.413	35.1265	28.1063	103.74	93.1524	55.5637	62.4419	0	0	0	0	177.524	135.467	14.2922
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	4.65651	0	0	0	2.36173	0	0	0	0	0	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0	11.6981	29.1202	16.7401	0	0	6.11119	4.56017	0	0	6.19468	23.8254	0	8.93547	4.99357	5.87523	4.59657	0	0	0	0	0	0	0	0	12.291
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0	0	4.45418	0	0	0	0	0	0	0	67.0127	0	25.6636	29.9853	12.9219	34.5636	13.8013	40.6643	39.4613	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp metabolism	0	0	0	0	0	0	0	10.8561	0	0	5.34307	2.38484	0	6.17173	10.6761	2.57067	0	0	0	0	0	0	0	3.9158	2.30058	0
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.91351	0	0	4.27028	0	0	0	0	0	0	0
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	2.85764	0	0.62514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV	136.391	904.701	716.722	584.926	643.95	608.665	663.424	622.485	566.215	610.603	339.793	260.196	348.009	356.817	299.033	309.582	466.25	345.246	360.981	128.366	107.349	135.89	0	175.244	316.311	740.985
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	422.199	58.3822	51.7249	45.4561	98.701	57.6965	85.9497	66.7748	37.9659	85.2541	101.118	426.322	48.1022	78.4263	88.922	213.865	69.9413	109.23	194.718	361.663	203.383	209.694	361.802	442.838	418.71	56.0966
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	0	0	0	12.3456	18.8052	0	0	15.0871	0	37.157	14.6112	0	6.84269	0	0	0	3.85224	4.62299	3.08655	0	0	0	0	0	7.52001	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0	6.42944	7.3625	0	19.053	9.69928	0	30.8383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II	435.431	90.5868	78.9432	57.2982	108.38	59.7448	39.1402	48.4295	18.7111	33.0799	118.124	448.933	54.6058	109.991	84.6241	215.248	117.74	180.497	215.748	437.589	304.371	272.29	369.838	422.606	420.874	103.898
PWY-2942: L-lysine biosynthesis III	529.339	615.462	441.385	265.471	353.756	339.798	353.378	267.509	292.542	319.921	311.433	513.487	306.786	354.427	274.433	280.118	407.015	363.171	332.631	567.502	366.269	303.566	414.043	468.843	477.738	400.336
PWY-3001: superpathway of L-isoleucine biosynthesis I	96.6837	212.879	289.401	187.997	266.097	294.125	290.156	277.892	158.372	223.806	203.106	98.7445	133.403	214.413	201.484	170.164	226.487	285.917	223.947	0	0	0	0	169.4	229.662	212.408
PWY-3841: folate transformations II (plants)	594.476	739.614	515.001	379.589	413.75	465.516	461.116	415.456	348.51	414.307	397.394	607.411	402.298	408.694	456.135	451.096	442.576	458.425	469.62	530.263	507.253	478.861	494.233	589.65	577.112	493.645
